Element,Branch_ID,P,Q,V,xi,R,L,Filename
Y11,a,-0.3,-1.0,0.9,-8.947,-79.068109550646,-0.0924924295717969,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y11,b,-0.3,-1.0,0.9,-8.947,-2.289172691736792,-0.0108299162505098,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y11,c,-0.3,-1.0,0.9,-8.947,1.7629056638263214,0.0171012740958924,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y11,d,-0.3,-1.0,0.9,-8.947,178.65581770470487,12.024990816050195,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y11,e,-0.3,-1.0,0.9,-8.947,-454.835895041856,-33.38225740932117,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y11,f,-0.3,-1.0,0.9,-8.947,-142.10992790375752,-13.91437434506899,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y11,a,-0.3,-1.0,0.9,-10.0,-112.28799258653171,-0.1313524416492577,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y11,b,-0.3,-1.0,0.9,-10.0,-2.0511882745800403,-0.0097040285811184,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y11,c,-0.3,-1.0,0.9,-10.0,1.699283141400037,0.0164840963211484,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y11,d,-0.3,-1.0,0.9,-10.0,173.03782846452918,11.646854406161554,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y11,e,-0.3,-1.0,0.9,-10.0,-422.861876523364,-31.035554094412447,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y11,f,-0.3,-1.0,0.9,-10.0,-144.48599509148318,-14.14702162623936,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y11,a,-0.3,-1.0,0.9,-6.842,-49.592420262245824,-0.0580123069144919,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y11,b,-0.3,-1.0,0.9,-6.842,-2.988876212414048,-0.014140164776746,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y11,c,-0.3,-1.0,0.9,-6.842,1.9111387925426808,0.0185392270256981,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y11,d,-0.3,-1.0,0.9,-6.842,191.59519028948392,12.895915920744503,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y11,e,-0.3,-1.0,0.9,-6.842,-553.776488705134,-40.64391022256712,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y11,f,-0.3,-1.0,0.9,-6.842,-137.8271345764644,-13.495034257552872,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y11,a,-0.3,-1.0,0.9,-7.895,-60.96849601602679,-0.0713198324319192,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y11,b,-0.3,-1.0,0.9,-7.895,-2.5917929133597357,-0.0122615914001031,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y11,c,-0.3,-1.0,0.9,-7.895,1.8332126042459984,0.0177832948549335,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y11,d,-0.3,-1.0,0.9,-7.895,184.8193458617025,12.439846434574168,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y11,e,-0.3,-1.0,0.9,-7.895,-496.9785262861863,-36.47527660900487,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y11,f,-0.3,-1.0,0.9,-7.895,-139.8930880155438,-13.69731744743144,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y11,a,-0.3,-1.0,0.9,-5.789,-41.78921419660398,-0.0488842590635652,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y11,b,-0.3,-1.0,0.9,-5.789,-3.531945444242144,-0.0167093874134466,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y11,c,-0.3,-1.0,0.9,-5.789,1.9978077799579204,0.0193799697493811,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y11,d,-0.3,-1.0,0.9,-5.789,199.06205135496776,13.39849644495745,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y11,e,-0.3,-1.0,0.9,-5.789,-633.0140842804102,-46.45947995394967,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y11,f,-0.3,-1.0,0.9,-5.789,-135.90447472635586,-13.30678133788406,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y11,a,-0.3,-1.0,0.9,-4.737,-36.110763677374266,-0.0422417114206324,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y11,b,-0.3,-1.0,0.9,-4.737,-4.318325241578371,-0.020429695355694,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y11,c,-0.3,-1.0,0.9,-4.737,2.09458134495959,0.0203187331184535,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y11,d,-0.3,-1.0,0.9,-4.737,207.3132668723494,13.953870419390448,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y11,e,-0.3,-1.0,0.9,-4.737,-749.4298783027588,-55.0037087948696,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y11,f,-0.3,-1.0,0.9,-4.737,-134.118197785972,-13.13188204387513,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y11,a,-0.3,-1.0,0.9,-3.684,-31.798367316776964,-0.0371971489676408,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y11,b,-0.3,-1.0,0.9,-3.684,-5.556573135576499,-0.0262877597288087,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y11,c,-0.3,-1.0,0.9,-3.684,2.2031254830943943,0.0213716783190017,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y11,d,-0.3,-1.0,0.9,-3.684,216.4603502569801,14.56954358361422,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y11,e,-0.3,-1.0,0.9,-3.684,-934.6443565523437,-68.59735334128341,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y11,f,-0.3,-1.0,0.9,-3.684,-132.46201761884063,-12.96972088363488,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y11,a,-0.3,-1.0,0.9,-2.632,-28.416119157533767,-0.0332406568820072,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y11,b,-0.3,-1.0,0.9,-2.632,-7.788945395853872,-0.0368489571020061,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y11,c,-0.3,-1.0,0.9,-2.632,2.3254996554704763,0.0225587833961501,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y11,d,-0.3,-1.0,0.9,-2.632,226.63753575738863,15.25455101603574,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y11,e,-0.3,-1.0,0.9,-2.632,-1270.914640477083,-93.27759793240858,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y11,f,-0.3,-1.0,0.9,-2.632,-130.93022074195844,-12.819738433405831,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y11,a,-0.3,-1.0,0.9,-1.579,-25.695753518112728,-0.0300584228720679,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y11,b,-0.3,-1.0,0.9,-1.579,-13.003726278930564,-0.0615197215368384,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y11,c,-0.3,-1.0,0.9,-1.579,2.4642794514075157,0.0239050331575465,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y11,d,-0.3,-1.0,0.9,-1.579,238.0078560486792,16.01986611450981,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y11,e,-0.3,-1.0,0.9,-1.579,-2059.9135592017083,-151.18544140088284,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y11,f,-0.3,-1.0,0.9,-1.579,-129.51762129319025,-12.681426932051412,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y11,a,-0.3,-1.0,0.9,-0.526,-23.463133653340744,-0.0274467449556917,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y11,b,-0.3,-1.0,0.9,-0.526,-39.09550840580464,-0.1849581219164279,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y11,c,-0.3,-1.0,0.9,-0.526,2.6227282260468714,0.0254420841642266,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y11,d,-0.3,-1.0,0.9,-0.526,250.7711748528967,16.8789413669344,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y11,e,-0.3,-1.0,0.9,-0.526,-6016.852912619334,-441.60133570415616,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
