Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,Y11,-0.3,-1.0,0.9,-10.0,-112.28799258653171,-2.0511882745800403,1.699283141400037,173.03782846452918,-422.861876523364,-144.48599509148318,-0.1313524416492577,-0.0097040285811184,0.0164840963211484,11.646854406161554,-31.035554094412447,-14.14702162623936
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,Y11,-0.3,-1.0,0.9,-8.947,-79.068109550646,-2.289172691736792,1.7629056638263214,178.65581770470487,-454.835895041856,-142.10992790375752,-0.0924924295717969,-0.0108299162505098,0.0171012740958924,12.024990816050195,-33.38225740932117,-13.91437434506899
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,Y11,-0.3,-1.0,0.9,-7.895,-60.96849601602679,-2.5917929133597357,1.8332126042459984,184.8193458617025,-496.9785262861863,-139.8930880155438,-0.0713198324319192,-0.0122615914001031,0.0177832948549335,12.439846434574168,-36.47527660900487,-13.69731744743144
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,Y11,-0.3,-1.0,0.9,-6.842,-49.592420262245824,-2.988876212414048,1.9111387925426808,191.59519028948392,-553.776488705134,-137.8271345764644,-0.0580123069144919,-0.014140164776746,0.0185392270256981,12.895915920744503,-40.64391022256712,-13.495034257552872
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,Y11,-0.3,-1.0,0.9,-5.789,-41.78921419660398,-3.531945444242144,1.9978077799579204,199.06205135496776,-633.0140842804102,-135.90447472635586,-0.0488842590635652,-0.0167093874134466,0.0193799697493811,13.39849644495745,-46.45947995394967,-13.30678133788406
iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv,Y11,-0.3,-1.0,0.9,-4.737,-36.110763677374266,-4.318325241578371,2.09458134495959,207.3132668723494,-749.4298783027588,-134.118197785972,-0.0422417114206324,-0.020429695355694,0.0203187331184535,13.953870419390448,-55.0037087948696,-13.13188204387513
iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv,Y11,-0.3,-1.0,0.9,-3.684,-31.798367316776964,-5.556573135576499,2.2031254830943943,216.4603502569801,-934.6443565523437,-132.46201761884063,-0.0371971489676408,-0.0262877597288087,0.0213716783190017,14.56954358361422,-68.59735334128341,-12.96972088363488
iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv,Y11,-0.3,-1.0,0.9,-2.632,-28.416119157533767,-7.788945395853872,2.3254996554704763,226.63753575738863,-1270.914640477083,-130.93022074195844,-0.0332406568820072,-0.0368489571020061,0.0225587833961501,15.25455101603574,-93.27759793240858,-12.819738433405831
iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv,Y11,-0.3,-1.0,0.9,-1.579,-25.695753518112728,-13.003726278930564,2.4642794514075157,238.0078560486792,-2059.9135592017083,-129.51762129319025,-0.0300584228720679,-0.0615197215368384,0.0239050331575465,16.01986611450981,-151.18544140088284,-12.681426932051412
iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv,Y11,-0.3,-1.0,0.9,-0.526,-23.463133653340744,-39.09550840580464,2.6227282260468714,250.7711748528967,-6016.852912619334,-128.21952023754025,-0.0274467449556917,-0.1849581219164279,0.0254420841642266,16.8789413669344,-441.60133570415616,-12.55432628326942
