Filename,iP,iV,iQ,iX,P,Q,V,xi,Element,Is_Passive,Min_Real_Part,Branch_Type,Branch_ID,R,L,C,RMS_Rel_Error,Max_Rel_Error,Order
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y21,False,-0.07730796404074738,RC_Parallel,Parallel,-1.0043282115271098e+17,,-1.490944709295148e-23,2.6111594900450614e-13,1.4047855443624073e-12,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y21,False,-0.07730796404074738,RL_Series,a,502.2016862966536,0.5874663548251624,,2.6111594900450614e-13,1.4047855443624073e-12,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y21,False,-0.07730796404074738,RL_Series,b,155.1042113546631,0.7337871996883416,,2.6111594900450614e-13,1.4047855443624073e-12,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y21,False,-0.07730796404074738,RL_Series,c,-11.197108444695186,-0.10861886970091937,,2.6111594900450614e-13,1.4047855443624073e-12,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y21,False,-0.07730796404074738,RL_Series,d,-1134.7337862266518,-76.37682063947861,,2.6111594900450614e-13,1.4047855443624073e-12,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y21,False,-0.07730796404074738,RL_Series,e,229.15294261271197,16.818467066798622,,2.6111594900450614e-13,1.4047855443624073e-12,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y21,False,-0.07730796404074738,RL_Series,f,902.612265498985,88.37725229126124,,2.6111594900450614e-13,1.4047855443624073e-12,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y21,False,-0.08203905737198379,RC_Parallel,Parallel,-1.020014936891837e+17,,-1.4640075245134332e-23,2.65101807231734e-13,1.4374653486267405e-12,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y21,False,-0.08203905737198379,RL_Series,a,636.8168509172425,0.7449367142877421,,2.65101807231734e-13,1.4374653486267405e-12,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y21,False,-0.08203905737198379,RL_Series,b,61.89113594134011,0.29280264495253394,,2.65101807231734e-13,1.4374653486267405e-12,6
