Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ01_iX01__P-1000m_Q-1000m_V+1000m_xi-10000md.csv,Y11,-1.0,-1.0,1.0,-10.0,-98.57755064389318,-4.029984472292032,1.3422805232354342,96.3083158849863,6928.616124673494,-64.69988247279781,-0.0380352798527718,-0.0170424466117052,0.0288363964146,6.476305590641903,511.9968322904419,-6.357354444193198
iP01_iV01_iQ01_iX02__P-1000m_Q-1000m_V+1000m_xi-8947md.csv,Y11,-1.0,-1.0,1.0,-8.947,-95.49675153459138,-4.5485492564686085,1.3423316063198794,96.9258202631128,-21530.981449241404,-64.13509685793707,-0.0368465806456289,-0.0192354110535792,0.0288374938395019,6.517829994144781,-1591.0644050139797,-6.301859099228455
iP01_iV01_iQ01_iX03__P-1000m_Q-1000m_V+1000m_xi-7895md.csv,Y11,-1.0,-1.0,1.0,-7.895,-92.64871428404211,-5.208879099943935,1.34331490287159,97.62310901625128,-5097.268041720781,-63.62064434071869,-0.0357476905520096,-0.0220278873474505,0.0288586181340635,6.564719542155002,-376.6687543543815,-6.2513094408481855
iP01_iV01_iQ01_iX04__P-1000m_Q-1000m_V+1000m_xi-6842md.csv,Y11,-1.0,-1.0,1.0,-6.842,-90.01260144768759,-6.076580732148795,1.3452331837237894,98.40250721734616,-3282.074807049308,-63.15502413132886,-0.034730569627424,-0.0256973205285,0.028899828824474,6.617130584056581,-242.53276305172108,-6.205558002680856
iP01_iV01_iQ01_iX05__P-1000m_Q-1000m_V+1000m_xi-5789md.csv,Y11,-1.0,-1.0,1.0,-5.789,-87.5700707360251,-7.264993365975742,1.3480918635242312,99.2666465440451,-2689.5918008857725,-62.736893311428624,-0.0337881406609879,-0.030723012067494,0.0289612422343532,6.675240089200999,-198.75051693678745,-6.164472830826301
iP01_iV01_iQ01_iX06__P-1000m_Q-1000m_V+1000m_xi-4737md.csv,Y11,-1.0,-1.0,1.0,-4.737,-85.30492345190815,-8.988226827201114,1.3518990337238332,100.21848532758754,-2516.0526342112416,-62.36505837454453,-0.0329141535280513,-0.0380104134121801,0.0290430321934503,6.739246994981682,-185.92664005042477,-6.127936652249237
iP01_iV01_iQ01_iX07__P-1000m_Q-1000m_V+1000m_xi-3684md.csv,Y11,-1.0,-1.0,1.0,-3.684,-83.20281103712362,-11.70512251032942,1.3566655120619535,101.2613255642394,-2620.651741048488,-62.03846777946525,-0.032103071963779,-0.0494999240908566,0.0291454311007437,6.809373368474979,-193.65610801319343,-6.095846142629266
iP01_iV01_iQ01_iX08__P-1000m_Q-1000m_V+1000m_xi-2632md.csv,Y11,-1.0,-1.0,1.0,-2.632,-81.25098888139112,-16.608721136469626,1.3624049090774444,102.3988641307416,-3084.1955546471686,-61.756205850786245,-0.0313499785725224,-0.0702368074128236,0.0292687313533031,6.885867783112273,-227.9102400319648,-6.068111329440006
iP01_iV01_iQ01_iX09__P-1000m_Q-1000m_V+1000m_xi-1579md.csv,Y11,-1.0,-1.0,1.0,-1.579,-79.43810880283355,-28.073602508992508,1.3691337123578913,103.63518598443876,-4435.103064345069,-61.51748676110199,-0.0306504947582349,-0.1187207730569188,0.0294132871562338,6.9690049632505024,-327.7371680176107,-6.044654997037897
iP01_iV01_iQ01_iX10__P-1000m_Q-1000m_V+1000m_xi-526md.csv,Y11,-1.0,-1.0,1.0,-0.526,-77.75404335089786,-85.47130565463472,1.37687138944386,104.97485855606466,-11704.6853700318,-61.32165055481144,-0.0300007129333028,-0.3614505647524539,0.0295795167333719,7.059091967075091,-864.9334841841674,-6.0254123012918495
