Filename,iP,iV,iQ,iX,P,Q,V,xi,Element,Is_Passive,Min_Real_Part,Branch_Type,Branch_ID,R,L,C,RMS_Rel_Error,Max_Rel_Error,Order
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y11,False,-0.12523935518513976,RC_Parallel,Parallel,3.103589187524432e+17,,-1.109100442874694e-22,1.3519155825166482e-13,9.975184919756618e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y11,False,-0.12523935518513976,RL_Series,a,-79.068109550646,-0.09249242957179692,,1.3519155825166482e-13,9.975184919756618e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y11,False,-0.12523935518513976,RL_Series,b,-2.289172691736792,-0.010829916250509877,,1.3519155825166482e-13,9.975184919756618e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y11,False,-0.12523935518513976,RL_Series,c,1.7629056638263214,0.01710127409589249,,1.3519155825166482e-13,9.975184919756618e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y11,False,-0.12523935518513976,RL_Series,d,178.65581770470487,12.024990816050197,,1.3519155825166482e-13,9.975184919756618e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y11,False,-0.12523935518513976,RL_Series,e,-454.83589504185596,-33.38225740932117,,1.3519155825166482e-13,9.975184919756618e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y11,False,-0.12523935518513976,RL_Series,f,-142.10992790375752,-13.91437434506899,,1.3519155825166482e-13,9.975184919756618e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y11,False,-0.14638946694969077,RC_Parallel,Parallel,1.3185788932565371e+17,,-1.1853818544778493e-22,1.235124115069326e-13,9.635893558793461e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y11,False,-0.14638946694969077,RL_Series,a,-112.28799258653173,-0.1313524416492577,,1.235124115069326e-13,9.635893558793461e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y11,False,-0.14638946694969077,RL_Series,b,-2.0511882745800403,-0.009704028581118487,,1.235124115069326e-13,9.635893558793461e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y11,False,-0.14638946694969077,RL_Series,c,1.6992831414000367,0.016484096321148466,,1.235124115069326e-13,9.635893558793461e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y11,False,-0.14638946694969077,RL_Series,d,173.03782846452918,11.646854406161554,,1.235124115069326e-13,9.635893558793461e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y11,False,-0.14638946694969077,RL_Series,e,-422.86187652336395,-31.035554094412447,,1.235124115069326e-13,9.635893558793461e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y11,False,-0.14638946694969077,RL_Series,f,-144.48599509148318,-14.147021626239361,,1.235124115069326e-13,9.635893558793461e-13,6
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,01,01,01,04,-0.3,-1.0,0.9,-6.842,Y11,False,-0.08586780950521704,RC_Parallel,Parallel,2.1004361571865424e+17,,-8.514008155500874e-23,1.5468845677839793e-13,9.76324852251359e-13,6
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,01,01,01,04,-0.3,-1.0,0.9,-6.842,Y11,False,-0.08586780950521704,RL_Series,a,-49.592420262245824,-0.05801230691449191,,1.5468845677839793e-13,9.76324852251359e-13,6
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,01,01,01,04,-0.3,-1.0,0.9,-6.842,Y11,False,-0.08586780950521704,RL_Series,b,-2.988876212414048,-0.014140164776746055,,1.5468845677839793e-13,9.76324852251359e-13,6
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,01,01,01,04,-0.3,-1.0,0.9,-6.842,Y11,False,-0.08586780950521704,RL_Series,c,1.9111387925426808,0.018539227025698157,,1.5468845677839793e-13,9.76324852251359e-13,6
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,01,01,01,04,-0.3,-1.0,0.9,-6.842,Y11,False,-0.08586780950521704,RL_Series,d,191.59519028948392,12.895915920744503,,1.5468845677839793e-13,9.76324852251359e-13,6
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,01,01,01,04,-0.3,-1.0,0.9,-6.842,Y11,False,-0.08586780950521704,RL_Series,e,-553.776488705134,-40.643910222567115,,1.5468845677839793e-13,9.76324852251359e-13,6
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,01,01,01,04,-0.3,-1.0,0.9,-6.842,Y11,False,-0.08586780950521704,RL_Series,f,-137.8271345764644,-13.495034257552872,,1.5468845677839793e-13,9.76324852251359e-13,6
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,01,01,01,03,-0.3,-1.0,0.9,-7.895,Y11,False,-0.10497664956303393,RC_Parallel,Parallel,1.1360315208949701e+17,,-9.544829201739457e-23,1.4486848392470191e-13,9.71112319952734e-13,6
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,01,01,01,03,-0.3,-1.0,0.9,-7.895,Y11,False,-0.10497664956303393,RL_Series,a,-60.96849601602679,-0.07131983243191924,,1.4486848392470191e-13,9.71112319952734e-13,6
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,01,01,01,03,-0.3,-1.0,0.9,-7.895,Y11,False,-0.10497664956303393,RL_Series,b,-2.5917929133597353,-0.012261591400103196,,1.4486848392470191e-13,9.71112319952734e-13,6
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,01,01,01,03,-0.3,-1.0,0.9,-7.895,Y11,False,-0.10497664956303393,RL_Series,c,1.8332126042459984,0.017783294854933535,,1.4486848392470191e-13,9.71112319952734e-13,6
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,01,01,01,03,-0.3,-1.0,0.9,-7.895,Y11,False,-0.10497664956303393,RL_Series,d,184.8193458617025,12.439846434574168,,1.4486848392470191e-13,9.71112319952734e-13,6
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,01,01,01,03,-0.3,-1.0,0.9,-7.895,Y11,False,-0.10497664956303393,RL_Series,e,-496.97852628618625,-36.475276609004865,,1.4486848392470191e-13,9.71112319952734e-13,6
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,01,01,01,03,-0.3,-1.0,0.9,-7.895,Y11,False,-0.10497664956303393,RL_Series,f,-139.8930880155438,-13.69731744743144,,1.4486848392470191e-13,9.71112319952734e-13,6
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,01,01,01,05,-0.3,-1.0,0.9,-5.789,Y11,False,-0.06826970332365558,RC_Parallel,Parallel,1.2850523232159374e+17,,-6.948656445780283e-23,1.578962750963909e-13,9.690038083017458e-13,6
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,01,01,01,05,-0.3,-1.0,0.9,-5.789,Y11,False,-0.06826970332365558,RL_Series,a,-41.78921419660398,-0.04888425906356528,,1.578962750963909e-13,9.690038083017458e-13,6
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,01,01,01,05,-0.3,-1.0,0.9,-5.789,Y11,False,-0.06826970332365558,RL_Series,b,-3.531945444242144,-0.01670938741344668,,1.578962750963909e-13,9.690038083017458e-13,6
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,01,01,01,05,-0.3,-1.0,0.9,-5.789,Y11,False,-0.06826970332365558,RL_Series,c,1.9978077799579204,0.01937996974938114,,1.578962750963909e-13,9.690038083017458e-13,6
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,01,01,01,05,-0.3,-1.0,0.9,-5.789,Y11,False,-0.06826970332365558,RL_Series,d,199.06205135496776,13.39849644495745,,1.578962750963909e-13,9.690038083017458e-13,6
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,01,01,01,05,-0.3,-1.0,0.9,-5.789,Y11,False,-0.06826970332365558,RL_Series,e,-633.0140842804102,-46.45947995394967,,1.578962750963909e-13,9.690038083017458e-13,6
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,01,01,01,05,-0.3,-1.0,0.9,-5.789,Y11,False,-0.06826970332365558,RL_Series,f,-135.90447472635586,-13.306781337884061,,1.578962750963909e-13,9.690038083017458e-13,6
iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv,01,01,01,06,-0.3,-1.0,0.9,-4.737,Y11,False,-0.052679582519797125,RC_Parallel,Parallel,2.520150161554922e+17,,-5.886559812935697e-23,1.6897909111669683e-13,9.845565640179714e-13,6
iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv,01,01,01,06,-0.3,-1.0,0.9,-4.737,Y11,False,-0.052679582519797125,RL_Series,a,-36.110763677374266,-0.0422417114206324,,1.6897909111669683e-13,9.845565640179714e-13,6
iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv,01,01,01,06,-0.3,-1.0,0.9,-4.737,Y11,False,-0.052679582519797125,RL_Series,b,-4.318325241578371,-0.020429695355694,,1.6897909111669683e-13,9.845565640179714e-13,6
