Element,Branch_ID,P,Q,V,xi,R,L,Filename
Y22,a,-0.3,-1.0,0.9,-8.947,-31.43242912711561,-0.0367690811609456,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y22,b,-0.3,-1.0,0.9,-8.947,24.420062914552787,0.1155296134500558,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y22,c,-0.3,-1.0,0.9,-8.947,-5.042290241627254,-0.0489133305669659,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y22,d,-0.3,-1.0,0.9,-8.947,-582.1969253238128,-39.18659225397565,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y22,e,-0.3,-1.0,0.9,-8.947,36.07851261367162,2.647948872479461,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y22,f,-0.3,-1.0,0.9,-8.947,-1250.869729317542,-122.47609951271292,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y22,a,-0.3,-1.0,0.9,-10.0,-28.12470455324224,-0.0328997654035488,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y22,b,-0.3,-1.0,0.9,-10.0,10.913077133154358,0.0516290063279347,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y22,c,-0.3,-1.0,0.9,-10.0,-4.554549201278932,-0.04418194113986,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y22,d,-0.3,-1.0,0.9,-10.0,-526.4930585414128,-35.437268583023844,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y22,e,-0.3,-1.0,0.9,-10.0,35.863410696653446,2.632161667352789,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y22,f,-0.3,-1.0,0.9,-10.0,-1092.7005747268963,-106.98932206117094,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y22,a,-0.3,-1.0,0.9,-6.842,-41.15695663166896,-0.048144655718698,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y22,b,-0.3,-1.0,0.9,-6.842,-16.30917115959769,-0.0771575505907638,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y22,c,-0.3,-1.0,0.9,-6.842,-6.479811122890596,-0.0628581712430656,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y22,d,-0.3,-1.0,0.9,-6.842,-746.4832564037416,-50.24439967704996,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y22,e,-0.3,-1.0,0.9,-6.842,36.59717100339572,2.686015322443462,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y22,f,-0.3,-1.0,0.9,-6.842,-1721.8091806946773,-168.58707796398497,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y22,a,-0.3,-1.0,0.9,-7.895,-35.638315965292456,-0.0416890507210859,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y22,b,-0.3,-1.0,0.9,-7.895,-99.44500752306875,-0.4704673906402359,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y22,c,-0.3,-1.0,0.9,-7.895,-5.663549433705239,-0.0549399285559121,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y22,d,-0.3,-1.0,0.9,-7.895,-653.1823561227612,-43.96448956567047,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y22,e,-0.3,-1.0,0.9,-7.895,36.32283186729417,2.665880456923969,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y22,f,-0.3,-1.0,0.9,-7.895,-1453.6282339040383,-142.3287429879979,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y22,a,-0.3,-1.0,0.9,-5.789,-48.70450601825744,-0.0569736410586286,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y22,b,-0.3,-1.0,0.9,-5.789,-8.86846988644404,-0.0419561121303996,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y22,c,-0.3,-1.0,0.9,-5.789,-7.5972885617183,-0.0736983927985909,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y22,d,-0.3,-1.0,0.9,-5.789,-874.2509378341063,-58.8442046965301,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y22,e,-0.3,-1.0,0.9,-5.789,36.90244224680958,2.7084204213958203,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y22,f,-0.3,-1.0,0.9,-5.789,-2091.4361105166263,-204.7782684508126,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y22,a,-0.3,-1.0,0.9,-4.737,-59.63375339041693,-0.069758474901087,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y22,b,-0.3,-1.0,0.9,-4.737,-6.085766163573273,-0.0287913350135601,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y22,c,-0.3,-1.0,0.9,-4.737,-9.216621653189325,-0.0894069242407657,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y22,d,-0.3,-1.0,0.9,-4.737,-1059.4397620825118,-71.30892012957588,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y22,e,-0.3,-1.0,0.9,-4.737,37.2396740604995,2.7331712365329675,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
