Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,Y22,-0.3,-1.0,0.9,-10.0,-28.12470455324224,10.913077133154358,-4.554549201278932,-526.4930585414128,35.863410696653446,-1092.7005747268963,-0.0328997654035488,0.0516290063279347,-0.04418194113986,-35.437268583023844,2.632161667352789,-106.98932206117094
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,Y22,-0.3,-1.0,0.9,-8.947,-31.43242912711561,24.420062914552787,-5.042290241627254,-582.1969253238128,36.07851261367162,-1250.869729317542,-0.0367690811609456,0.1155296134500558,-0.0489133305669659,-39.18659225397565,2.647948872479461,-122.47609951271292
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,Y22,-0.3,-1.0,0.9,-7.895,-35.638315965292456,-99.44500752306875,-5.663549433705239,-653.1823561227612,36.32283186729417,-1453.6282339040383,-0.0416890507210859,-0.4704673906402359,-0.0549399285559121,-43.96448956567047,2.665880456923969,-142.3287429879979
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,Y22,-0.3,-1.0,0.9,-6.842,-41.15695663166896,-16.30917115959769,-6.479811122890596,-746.4832564037416,36.59717100339572,-1721.8091806946773,-0.048144655718698,-0.0771575505907638,-0.0628581712430656,-50.24439967704996,2.686015322443462,-168.58707796398497
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,Y22,-0.3,-1.0,0.9,-5.789,-48.70450601825744,-8.86846988644404,-7.5972885617183,-874.2509378341063,36.90244224680958,-2091.4361105166263,-0.0569736410586286,-0.0419561121303996,-0.0736983927985909,-58.8442046965301,2.7084204213958203,-204.7782684508126
iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv,Y22,-0.3,-1.0,0.9,-4.737,-59.63375339041693,-6.085766163573273,-9.216621653189325,-1059.4397620825118,37.2396740604995,-2630.609279145356,-0.069758474901087,-0.0287913350135601,-0.0894069242407657,-71.30892012957588,2.7331712365329675,-257.57019805765555
iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv,Y22,-0.3,-1.0,0.9,-3.684,-76.84360123553776,-4.631300593307532,-11.76777095786696,-1351.2402472220558,37.61001946370066,-3485.34180828552,-0.0898902403979785,-0.0219103599031682,-0.1141546486448827,-90.94946795885312,2.760352393149436,-341.25941348334464
iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv,Y22,-0.3,-1.0,0.9,-2.632,-107.8712937788364,-3.73828955006884,-16.368657485626205,-1877.550593623304,38.0147646761944,-5035.406427372469,-0.1261858680997936,-0.0176855869780125,-0.1587860904796868,-126.37443811599732,2.79005829184303,-493.03050810126354
iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv,Y22,-0.3,-1.0,0.9,-1.579,-180.3535603097904,-3.134913479702946,-27.118361907704912,-3107.33499961194,38.4553396015458,-8673.577135503,-0.2109742988643475,-0.0148310568968124,-0.263064864746488,-209.1489400019153,2.8223938782886178,-849.2538206729247
iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv,Y22,-0.3,-1.0,0.9,-0.526,-543.0214807747524,-2.700434934254316,-80.90871500469221,-9261.286891516876,38.9333300153174,-26935.797949395124,-0.6352166044183298,-0.0127755692191737,-0.7848645224945657,-623.3600067277662,2.85747553985819,-2637.358154693058
