Element,P,Q,V,xi,R,L,Filename
Y11,-0.3,-1.0,0.9,-8.947,-454.835895041856,-33.38225740932117,iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv
Y11,-0.3,-1.0,0.9,-10.0,-422.861876523364,-31.035554094412447,iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv
Y11,-0.3,-1.0,0.9,-6.842,-553.776488705134,-40.64391022256712,iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv
Y11,-0.3,-1.0,0.9,-7.895,-496.9785262861863,-36.47527660900487,iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv
Y11,-0.3,-1.0,0.9,-5.789,-633.0140842804102,-46.45947995394967,iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv
Y11,-0.3,-1.0,0.9,-4.737,-749.4298783027588,-55.0037087948696,iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv
Y11,-0.3,-1.0,0.9,-3.684,-934.6443565523437,-68.59735334128341,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y11,-0.3,-1.0,0.9,-2.632,-1270.914640477083,-93.27759793240858,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y11,-0.3,-1.0,0.9,-1.579,-2059.9135592017083,-151.18544140088284,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y11,-0.3,-1.0,0.9,-0.526,-6016.852912619334,-441.60133570415616,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y11,-0.3,-1.0,0.9,0.526,5864.876892385362,430.4471632408784,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y11,-0.3,-1.0,0.9,1.579,1907.6428377766915,140.00967159601035,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y11,-0.3,-1.0,0.9,2.632,1118.037112448844,82.0572942003158,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y11,-0.3,-1.0,0.9,3.684,780.8477491059048,57.30959443529991,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y11,-0.3,-1.0,0.9,5.789,476.40060933428026,34.96497960573503,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y11,-0.3,-1.0,0.9,7.895,336.1308129122823,24.6700083264078,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
