P,Q,V,xi,Branch_Type,Branch_ID,R,L
0.976,0.03,1.05,7.0702991919143585,RL_Series,a,-14.21545119974681,
0.976,0.03,1.05,7.0702991919143585,RL_Series,b,-59.60180095088525,-6.051400063356364
0.976,0.03,1.05,7.0702991919143585,RL_Series,c,2.630478526067413,0.862815424772137
0.976,0.03,1.05,7.0702991919143585,RL_Series,d,83891.84407882094,1065.7418169292764
0.976,0.03,1.05,7.0702991919143585,RL_Series,e,8.689050916169037,68.92167759551029
0.976,0.03,1.05,7.0702991919143585,RL_Series,f,-14754.32801426544,-132.5604445694263
0.977,0.233,1.055,7.047380880109126,RL_Series,a,-29.74803040705999,-0.15709855125359
0.977,0.233,1.055,7.047380880109126,RL_Series,b,-66.66787828142945,-8.117424645392624
0.977,0.233,1.055,7.047380880109126,RL_Series,c,2.620370643570701,0.03189264868247602
0.977,0.233,1.055,7.047380880109126,RL_Series,d,61443.951470021595,4954.545421982922
0.977,0.233,1.055,7.047380880109126,RL_Series,e,8.46583184816036,173.7730735258798
0.977,0.233,1.055,7.047380880109126,RL_Series,f,-14776.51944463703,-1485.9471095727295
0.977,0.023,1.055,6.990085100596043,RL_Series,a,-12.242592462006572,-0.14222307311744328
0.977,0.023,1.055,6.990085100596043,RL_Series,b,-59.471145832191816,-7.972871236415376
0.977,0.023,1.055,6.990085100596043,RL_Series,c,2.630628682875289,0.0318926863617863
0.977,0.023,1.055,6.990085100596043,RL_Series,d,82201.76388113038,6236.826923789842
0.977,0.023,1.055,6.990085100596043,RL_Series,e,8.65871985346679,214.12302791074322
0.977,0.023,1.055,6.990085100596043,RL_Series,f,-14592.538591784103,-1464.683710974152
0.976,0.03,1.05,7.0702991919143585,RL_Series,a,-14.21545119974681,-0.14495530679754712
0.976,0.03,1.05,7.0702991919143585,RL_Series,b,-59.60180095088525,-7.9424650877641465
0.976,0.03,1.05,7.0702991919143585,RL_Series,c,2.630478526067413,0.03189268535616203
0.976,0.03,1.05,7.0702991919143585,RL_Series,d,83891.84407882094,6472.0940800204935
0.976,0.03,1.05,7.0702991919143585,RL_Series,e,8.689050916169037,193.26812057022363
0.976,0.03,1.05,7.0702991919143585,RL_Series,f,-14754.32801426544,-1482.1007571516388
0.977,0.003,1.05,5.729577951308233,RL_Series,a,-5.313277256122755,-0.10603898036583113
0.977,0.003,1.05,5.729577951308233,RL_Series,b,-60.81250583054631,-7.97191896017717
0.977,0.003,1.05,5.729577951308233,RL_Series,c,2.6232148231244947,0.031892667022922046
0.977,0.003,1.05,5.729577951308233,RL_Series,d,71437.77010181017,5312.416454168545
0.977,0.003,1.05,5.729577951308233,RL_Series,e,7.859035602687731,11.539646467566058
0.977,0.003,1.05,5.729577951308233,RL_Series,f,-14135.698096820164,-1415.221683794412
