=== XGBoost Evaluation ===
R2 : 0.0636
RMSE: 4639.5649
MAE : 1459.6503
MAPE: 4069.91%


--- Worth Prediction Top 10 ---
           xi        True R       Pred R          Diff       Pred K
14705 -10.000  87798.164230  -160.361230  87958.525460  1603.612305
10344   6.842  83990.014467 -1156.546309  85146.560776 -7913.089844
1734   -1.579  72326.390309  2656.037556  69670.352753 -4193.883301
355    -1.579  51613.173474  1589.865860  50023.307614 -2510.398193
6865    8.947 -43949.279821  -148.490656  43800.789165 -1328.545898
10148   1.579  45194.567293  1990.925205  43203.642088  3143.670898
2445   -0.526 -41193.241906  -518.836598  40674.405308   272.908051
1766   -0.526 -37243.474590  -877.892440  36365.582150   461.771423
1745    0.526 -37243.474590 -1411.403177  35832.071412  -742.398071
13795   0.526 -36876.530636 -3639.616644  33236.913992 -1914.438354
